Universite Adi,Label
ABANT IZZET BAYSAL UNIVERSITESI,1
ABDULLAH GUL UNIVERSITESI,2
ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,3
ACIBADEM UNIVERSITESI,4
ADANA ALPARSLAN TURKES BILIM VE,5
ADANA ALPARSLAN TURKES BILIM VE TEKNOLOJI UNIVERSITESI,6
ADANA BILIM VE TEKNOLOJI,7
ADANA BILIM VE TEKNOLOJI UNIVERSITESI,8
ADIYAMAN UNIVERSITESI,9
ADNAN MENDERES UNIVERSITESI,10
AFYON KOCATEPE UNIVERSITESI,11
AFYONKARAHISAR SAGLIK BILIMLERI UNIVERSITESI,12
AGRI IBRAHIM CECEN UNIVERSITESI,13
AHI EVRAN UNIVERSITESI,14
AKDENIZ KARPAZ UNIVERSITESI,15
AKDENIZ UNIVERSITESI,16
AKSARAY UNIVERSITESI,17
ALANYA ALAADDIN KEYKUBAT UNIVERSITESI,18
ALANYA HAMDULLAH EMIN PASA,19
ALANYA HAMDULLAH EMIN PASA UNIVERSITESI,20
ALTINBAS UNIVERSITESI,21
AMASYA UNIVERSITESI,22
ANADOLU UNIVERSITESI,23
ANKARA BILIM UNIVERSITESI,24
ANKARA HACI BAYRAM VELI UNIVERSITESI,25
ANKARA MEDIPOL UNIVERSITESI,26
ANKARA MUZIK VE GUZEL SANATLAR UNIVERSITESI,27
ANKARA SOSYAL BILIMLER,28
ANKARA SOSYAL BILIMLER UNIVERSITESI,29
ANKARA SOSYAL BILIMLER UNIVERSITESI KUZEY KIBRIS KAMPUSU,30
ANKARA UNIVERSITESI,31
ANKARA YILDIRIM BEYAZIT UNIVERSITESI,32
ANTALYA AKEV UNIVERSITESI,33
ANTALYA BILIM UNIVERSITESI,34
ARDAHAN UNIVERSITESI,35
ARTVIN CORUH UNIVERSITESI,36
ATATURK UNIVERSITESI,37
ATILIM UNIVERSITESI,38
AVRASYA UNIVERSITESI,39
AVRUPA MESLEK YUKSEKOKULU,40
AYDIN ADNAN MENDERES,41
AYDIN ADNAN MENDERES UNIVERSITESI,42
BAHCESEHIR UNIVERSITESI,43
BALIKESIR UNIVERSITESI,44
BANDIRMA ONYEDI EYLUL UNIVERSITESI,45
BARD COLLEGE,46
BARTIN UNIVERSITESI,47
BASKENT UNIVERSITESI,48
BATMAN UNIVERSITESI,49
BAYBURT UNIVERSITESI,50
BEYKENT UNIVERSITESI,51
BEYKOZ LOJISTIK MESLEK,52
BEYKOZ UNIVERSITESI,53
BEZM-I ALEM VAKIF UNIVERSITESI,54
BEZM-I ÂLEM VAKIF UNIVERSITESI,55
BEZMIALEM VAKIF UNIVERSITESI,56
BEZMIÂLEM UNIVERSITESI,57
BILECIK SEYH EDEBALI UNIVERSITESI,58
BINGOL UNIVERSITESI,59
BIRUNI UNIVERSITESI,60
BITLIS EREN UNIVERSITESI,61
BOGAZICI UNIVERSITESI,62
BOLU ABANT IZZET BAYSAL UNIVERSITESI,63
BOZOK UNIVERSITESI,64
BROWN UNIVERSITY,65
BULENT ECEVIT UNIVERSITESI,66
BURDUR MEHMET AKIF ERSOY UNIVERSITESI,67
BURSA ORHANGAZI UNIVERSITESI,68
BURSA TEKNIK UNIVERSITESI,69
BURSA ULUDAG UNIVERSITESI,70
CAG UNIVERSITESI,71
CANAKKALE ONSEKIZ MART,72
CANAKKALE ONSEKIZ MART UNIVERSITESI,73
CANIK BASARI UNIVERSITESI,74
CANKAYA UNIVERSITESI,75
CANKIRI KARATEKIN UNIVERSITESI,76
CELAL BAYAR UNIVERSITESI,77
CUKUROVA UNIVERSITESI,78
CUMHURIYET UNIVERSITESI,79
DEMIROGLU BILIM UNIVERSITESI,80
DICLE UNIVERSITESI,81
DIGER,82
DOGU AKDENIZ UNIVERSITESI,83
DOGUS UNIVERSITESI,84
DOKUZ EYLUL UNIVERSITESI,85
DUMLUPINAR UNIVERSITESI,86
DUZCE UNIVERSITESI,87
EGE UNIVERSITESI,88
ERCIYES UNIVERSITESI,89
ERZINCAN BINALI YILDIRIM UNIVERSITESI,90
ERZINCAN UNIVERSITESI,91
ERZURUM TEKNIK UNIVERSITESI,92
ESKISEHIR OSMANGAZI UNIVERSITESI,93
ESKISEHIR TEKNIK UNIVERSITESI,94
FARUK SARAC TASARIM MESLEK,95
FARUK SARAC TASARIM MESLEK YUKSEKOKULU (ISTANBUL),96
FATIH SULTAN MEHMET UNIVERSITESI,97
FATIH SULTAN MEHMET VAKIF,98
FATIH SULTAN MEHMET VAKIF UNIVERSITESI,99
FATIH UNIVERSITESI,100
FENERBAHCE UNIVERSITESI,101
FIRAT UNIVERSITESI,102
GALATASARAY UNIVERSITESI,103
GAZI UNIVERSITESI,104
GAZIANTEP ISLAM BILIM VE TEKNOLOJI UNIVERSITESI,105
GAZIANTEP UNIVERSITESI,106
GAZIOSMANPASA UNIVERSITESI,107
GEBZE TEKNIK UNIVERSITESI,108
GEBZE YUKSEK TEKNOLOJI ENSTITUSU,109
GEDIK UNIVERSITESI,110
GEDIZ UNIVERSITESI,111
GIRESUN UNIVERSITESI,112
GIRNE AMERIKAN UNIVERSITESI,113
GUMUSHANE UNIVERSITESI,114
HACETTEPE UNIVERSITESI,115
HAKKARI UNIVERSITESI,116
HALIC UNIVERSITESI,117
"HARP AKADEMILERI (KARA, DENIZ,",118
HARRAN UNIVERSITESI,119
HASAN KALYONCU UNIVERSITESI,120
HATAY MUSTAFA KEMAL UNIVERSITESI,121
HITIT UNIVERSITESI,122
HOCA AHMET YESEVI TURK-KAZAK,123
IBN HALDUN UNIVERSITESI,124
IGDIR UNIVERSITESI,125
IHSAN DOGRAMACI BILKENT,126
IHSAN DOGRAMACI BILKENT UNIVERSITESI,127
INONU UNIVERSITESI,128
IPEK UNIVERSITESI,129
ISIK UNIVERSITESI,130
ISKENDERUN TEKNIK UNIVERSITESI,131
ISPARTA UYGULAMALI BILIMLER UNIVERSITESI,132
ISTANBUL 29 MAYIS UNIVERSITESI,133
ISTANBUL AREL UNIVERSITESI,134
ISTANBUL ATLAS UNIVERSITESI,135
ISTANBUL AYDIN UNIVERSITESI,136
ISTANBUL AYVANSARAY UNIVERSITESI,137
ISTANBUL BILGI UNIVERSITESI,138
ISTANBUL BILIM UNIVERSITESI,139
ISTANBUL ESENYURT UNIVERSITESI,140
ISTANBUL GALATA UNIVERSITESI,141
ISTANBUL GEDIK UNIVERSITESI,142
ISTANBUL GELISIM UNIVERSITESI,143
ISTANBUL KAVRAM MESLEK,144
ISTANBUL KAVRAM MESLEK YUKSEKOKULU,145
ISTANBUL KEMERBURGAZ UNIVERSITESI,146
ISTANBUL KENT UNIVERSITESI,147
ISTANBUL KULTUR UNIVERSITESI,148
ISTANBUL MEDENIYET UNIVERSITESI,149
ISTANBUL MEDIPOL UNIVERSITESI,150
ISTANBUL OKAN UNIVERSITESI,151
ISTANBUL RUMELI UNIVERSITESI,152
ISTANBUL SABAHATTIN ZAIM,153
ISTANBUL SABAHATTIN ZAIM UNIVERSITESI,154
ISTANBUL SAGLIK VE TEKNOLOJI UNIVERSITESI,155
ISTANBUL SEHIR UNIVERSITESI,156
ISTANBUL SISLI MESLEK UNIVERSITESI,157
ISTANBUL SISLI MESLEK YUKSEKOKULU,158
ISTANBUL TEKNIK UNIVERSITESI,159
ISTANBUL TICARET UNIVERSITESI,160
ISTANBUL TOPKAPI UNIVERSITESI,161
ISTANBUL UNIVERSITESI,162
ISTANBUL UNIVERSITESI-,163
ISTANBUL UNIVERSITESI-CERRAHPASA,164
ISTANBUL YENI YUZYIL UNIVERSITESI,165
ISTINYE UNIVERSITESI,166
IZMIR BAKIRCAY UNIVERSITESI,167
IZMIR DEMOKRASI UNIVERSITESI,168
IZMIR EKONOMI UNIVERSITESI,169
IZMIR KATIP CELEBI UNIVERSITESI,170
IZMIR KAVRAM MESLEK UNIVERSITESI,171
IZMIR KAVRAM MESLEK YUKSEKOKULU,172
IZMIR KÂTIP CELEBI UNIVERSITESI,173
IZMIR TINAZTEPE UNIVERSITESI,174
IZMIR UNIVERSITESI,175
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,176
JANDARMA VE SAHIL GUVENLIK AKADEMISI(ASKERI),177
KADIR HAS UNIVERSITESI,178
KAFKAS UNIVERSITESI,179
KAHRAMANMARAS ISTIKLAL UNIVERSITESI,180
KAHRAMANMARAS SUTCU IMAM,181
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,182
KAPADOKYA MESLEK YUKSEKOKULU,183
KAPADOKYA UNIVERSITESI,184
KARABUK UNIVERSITESI,185
KARADENIZ TEKNIK UNIVERSITESI,186
KARAMANOGLU MEHMETBEY,187
KARAMANOGLU MEHMETBEY UNIVERSITESI,188
KASTAMONU UNIVERSITESI,189
KAYSERI UNIVERSITESI,190
KILIS 7 ARALIK UNIVERSITESI,191
KIRGIZISTAN-TURKIYE MANAS,192
KIRIKKALE UNIVERSITESI,193
KIRKLARELI UNIVERSITESI,194
KIRSEHIR AHI EVRAN UNIVERSITESI,195
KOC UNIVERSITESI,196
KOCAELI SAGLIK VE TEKNOLOJI UNIVERSITESI,197
KOCAELI UNIVERSITESI,198
KONYA GIDA VE TARIM UNIVERSITESI,199
KONYA TARIM VE GIDA UNIVERSITESI,200
KONYA TEKNIK UNIVERSITESI,201
KTO KARATAY UNIVERSITESI,202
KUTAHYA DUMLUPINAR UNIVERSITESI,203
KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,204
LEFKE AVRUPA UNIVERSITESI,205
LOKMAN HEKIM UNIVERSITESI,206
MALATYA TURGUT OZAL UNIVERSITESI,207
MALTEPE UNIVERSITESI,208
MANISA CELAL BAYAR UNIVERSITESI,209
MANISA CELÂL BAYAR UNIVERSITESI,210
MARDIN ARTUKLU UNIVERSITESI,211
MARMARA UNIVERSITESI,212
MEF UNIVERSITESI,213
MEHMET AKIF ERSOY UNIVERSITESI,214
MELIKSAH UNIVERSITESI,215
MERSIN UNIVERSITESI,216
MEVLANA UNIVERSITESI,217
MILLI SAVUNMA UNIVERSITESI (ASKERÎ),218
MIMAR SINAN GUZEL SANATLAR,219
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,220
MUGLA SITKI KOCMAN UNIVERSITESI,221
MUNZUR UNIVERSITESI,222
MUS ALPARSLAN UNIVERSITESI,223
MUSTAFA KEMAL UNIVERSITESI,224
NAMIK KEMAL UNIVERSITESI,225
NAN,226
NECMETTIN ERBAKAN UNIVERSITESI,227
NEVSEHIR HACI BEKTAS VELI,228
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,229
NIGDE OMER HALISDEMIR,230
NIGDE OMER HALISDEMIR UNIVERSITESI,231
NIGDE UNIVERSITESI,232
NISANTASI UNIVERSITESI,233
NUH NACI YAZGAN UNIVERSITESI,234
OKAN UNIVERSITESI,235
ONDOKUZ MAYIS UNIVERSITESI,236
ORDU UNIVERSITESI,237
ORTA DOGU TEKNIK UNIVERSITESI,238
OSMANIYE KORKUT ATA UNIVERSITESI,239
OSTIM TEKNIK UNIVERSITESI,240
OZYEGIN UNIVERSITESI,241
PAMUKKALE UNIVERSITESI,242
PIRI REIS UNIVERSITESI,243
PLATO MESLEK YUKSEKOKULU,244
POLIS AKADEMISI,245
RECEP TAYYIP ERDOGAN UNIVERSITESI,246
SABANCI UNIVERSITESI,247
SAGLIK BILIMLERI UNIVERSITESI,248
SAKARYA UNIVERSITESI,249
SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,250
SAMSUN UNIVERSITESI,251
SANKO UNIVERSITESI,252
SELAHADDIN EYYUBI UNIVERSITESI,253
SELCUK UNIVERSITESI,254
SIFA UNIVERSITESI,255
SIIRT UNIVERSITESI,256
SINOP UNIVERSITESI,257
SIRNAK UNIVERSITESI,258
SIVAS CUMHURIYET UNIVERSITESI,259
SULEYMAN DEMIREL UNIVERSITESI,260
SULEYMAN SAH UNIVERSITESI,261
TARSUS UNIVERSITESI,262
TED UNIVERSITESI,263
TEKIRDAG NAMIK KEMAL UNIVERSITESI,264
TOBB EKONOMI VE TEKNOLOJI,265
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,266
TOKAT GAZIOSMANPASA UNIVERSITESI,267
TOROS UNIVERSITESI,268
TRABZON UNIVERSITESI,269
TRAKYA UNIVERSITESI,270
TUNCELI UNIVERSITESI,271
TURGUT OZAL UNIVERSITESI,272
TURK HAVA KURUMU UNIVERSITESI,273
TURK-ALMAN UNIVERSITESI,274
UFUK UNIVERSITESI,275
ULUDAG UNIVERSITESI,276
ULUSLARARASI ANTALYA UNIVERSITESI,277
ULUSLARARASI FINAL UNIVERSITESI,278
ULUSLARARASI KIBRIS UNIVERSITESI,279
UNIVERSITY OF SOUTHERN CALIFORNIA,280
USAK UNIVERSITESI,281
USKUDAR UNIVERSITESI,282
VAN YUZUNCU YIL UNIVERSITESI,283
YAKIN DOGU UNIVERSITESI,284
YALOVA UNIVERSITESI,285
YASAR UNIVERSITESI,286
YEDITEPE UNIVERSITESI,287
YENI YUZYIL UNIVERSITESI,288
YILDIRIM BEYAZIT UNIVERSITESI,289
YILDIZ TEKNIK UNIVERSITESI,290
YOZGAT BOZOK UNIVERSITESI,291
YUKSEK IHTISAS UNIVERSITESI,292
YUZUNCU YIL UNIVERSITESI,293
ZIRVE UNIVERSITESI,294
ZONGULDAK BULENT ECEVIT UNIVERSITESI,295
